date       dec1    dec2     dec9    dec10
19690228 -0.037417 -0.065761 -0.095074 -0.103165
19690328 0.041346 0.011199 0.030027 0.018273
19690430 0.024883 0.018685 -0.003889 -0.004934
19690529 0.006649 -0.001651 0.003673 0.011502
19690630 -0.048659 -0.069702 -0.128577 -0.132533
19690731 -0.056311 -0.063499 -0.111659 -0.117458
19690829 0.050951 0.03982 0.054845 0.041077
19690930 -0.030304 -0.00765 -0.033037 -0.031771
19691031 0.041143 0.071243 0.09676 0.112035
19691128 -0.026198 -0.036227 -0.072298 -0.070327
19691231 -0.010351 -0.023517 -0.068192 -0.089239
19700130 -0.080692 -0.068004 -0.043693 -0.009592
19700227 0.056258 0.07707 0.040517 0.025837
19700331 0.001078 -0.011366 -0.036098 -0.035673
19700430 -0.084833 -0.10964 -0.177406 -0.187493
19700529 -0.048462 -0.07401 -0.101702 -0.094647
19700630 -0.048952 -0.047306 -0.08531 -0.087369
19700731 0.073319 0.07313 0.057671 0.040341
19700831 0.044079 0.055228 0.06375 0.058201
19700930 0.029107 0.042906 0.137416 0.163561
19701030 -0.004906 -0.024022 -0.068092 -0.079411
19701130 0.054586 0.060109 0.002067 -0.031902
19701231 0.050112 0.068955 0.093818 0.094088
19710129 0.034885 0.053614 0.131944 0.182548
19710226 0.013189 0.015037 0.047367 0.068243
19710331 0.041144 0.035396 0.046002 0.063385
19710430 0.034221 0.038489 0.029759 0.01949
19710528 -0.037548 -0.029219 -0.062733 -0.06478
19710630 0.006808 -0.00051 -0.027439 -0.030383
19710730 -0.038081 -0.037829 -0.065584 -0.06669
19710831 0.039668 0.038182 0.05491 0.030787
19710930 -0.004516 -0.00809 0.000195 -2.8e-05
19711029 -0.032954 -0.054115 -0.062275 -0.068634
19711130 0.009671 -0.010698 -0.044812 -0.054719
19711231 0.079864 0.095033 0.132976 0.126949
19720131 0.016369 0.028511 0.111935 0.152311
19720229 0.030204 0.029931 0.032985 0.042728
19720330 0.012325 -0.002066 -0.004181 -0.00819
19720428 0.007168 0.008691 -0.001257 0.001503
19720531 0.027161 0.007478 -0.025637 -0.033376
19720630 -0.014936 -0.03071 -0.036085 -0.040016
