  PERMNO        date            RET        vwretd        ewretd        sprtrn
   77702    20070606      -0.015390     -0.009361     -0.007294     -0.008864
   77702    20070607      -0.025222     -0.018107     -0.014220     -0.017570
   77702    20070608       0.008382      0.010775      0.006328      0.011370
   77702    20070611      -0.004698      0.001117      0.000193      0.000962
   77702    20070612       0.007262     -0.010828     -0.010319     -0.010682
   77702    20070613       0.001081      0.014169      0.008852      0.015184
   77702    20070614      -0.005762      0.005360      0.004925      0.004816
   77702    20070615       0.005795      0.007417      0.007951      0.006527
   77702    20070618      -0.003961     -0.000898      0.000237     -0.001213
   77702    20070619      -0.002531      0.001779      0.002899      0.001731
   77702    20070620      -0.009786     -0.012711     -0.008315     -0.013601
   77702    20070621      -0.038799      0.005389      0.002338      0.006180
   77702    20070622      -0.027418     -0.010741     -0.005932     -0.012896
   77702    20070625       0.004698     -0.004825     -0.006476     -0.003208
   77702    20070626       0.004287     -0.004023     -0.003078     -0.003238
   77702    20070627       0.013970      0.009351      0.008031      0.009009
   77702    20070628       0.012247      0.000737      0.002357     -0.000418
   77702    20070629      -0.007940     -0.000727      0.000124     -0.001567
   77702    20070702      -0.007241      0.011410      0.008541      0.010696
   77702    20070703       0.011900      0.003443      0.002199      0.003580
   77702    20070705      -0.000759      0.001213      0.001641      0.000348
   77702    20070706       0.007973      0.004469      0.003896      0.003304
   77702    20070709      -0.007910      0.001551      0.002156      0.000921
   77702    20070710      -0.008732     -0.013594     -0.010451     -0.014185
   77702    20070711      -0.004596      0.005066      0.002479      0.005721
   77702    20070712      -0.001154      0.017516      0.010693      0.019055
   77702    20070713       0.004237      0.003177      0.001082      0.003101
   77702    20070716       0.000384     -0.003053     -0.004465     -0.001919
   77702    20070717      -0.008190     -0.000070      0.000060     -0.000097
   77702    20070718       0.024495     -0.001557     -0.003549     -0.002065
   77702    20070719       0.045660      0.004852      0.005587      0.004469
   77702    20070720      -0.000361     -0.011677     -0.009234     -0.012221
   77702    20070723       0.016967      0.003035     -0.000493      0.004869
   77702    20070724       0.004132     -0.020134     -0.019044     -0.019804
   77702    20070725      -0.011539      0.002685     -0.002476      0.004666
   77702    20070726      -0.018956     -0.023861     -0.021884     -0.023339
   77702    20070727      -0.018359     -0.014735     -0.010659     -0.015992
   77702    20070730       0.001991      0.009312      0.004439      0.010254
   77702    20070731      -0.011119     -0.010141     -0.003866     -0.012647
   77702    20070801       0.019490      0.004120     -0.005684      0.007243
   77702    20070802      -0.010294      0.005971      0.004093      0.004359
   77702    20070803      -0.022660     -0.025938     -0.022608     -0.026586
   77702    20070806       0.022045      0.018019      0.000292      0.024151
   77702    20070807       0.008550      0.006585      0.005444      0.006159
   77702    20070808       0.022128      0.015620      0.017730      0.014072
   77702    20070809       0.011905     -0.026896     -0.015539     -0.029650
   77702    20070810      -0.000356     -0.000489     -0.000983      0.000379
   77702    20070813      -0.008203     -0.000565     -0.001632     -0.000495
